Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Heat_Type_Desc,Living_AreaGBA,Line_
100558,    216,     78,      2,       ,78  NOD RD  #B,1020,1,2,Hot Air-no Duc,2122,1
100658,    129,    279,      1,       ,6A LONGFELLOW RD #A,1020,1,1,Forced Air-Duc,1360,1
100659,    129,    279,      2,       ,6B LONGFELLOW RD #B,1020,1,1,Forced Air-Duc,680,1
100660,    129,    279,      3,       ,6C LONGFELLOW RD #C,1020,1,1,Forced Air-Duc,680,1
100738,    250,     19,      2,       ,28B MCCARTHY DR #B,1020,1,1,Forced Air-Duc,768,1
100739,    113,      7,      1,       ,142A MAIN ST #A,3401,1,2.5,Hot Water,3507,1
100801,    204,     10,     34,      1,2A ROSE CREST WAY ,1020,1,1.75,Forced Air-Duc,1515,1
100802,    204,     10,     34,      2,2B ROSE CREST WAY,1020,1,1.75,Forced Air-Duc,1178,1
100803,    204,     10,     34,      3,8 ROSE CREST WAY,1020,1,2,Forced Air-Duc,2516,1
100805,    204,     10,     34,      5,12A ROSE CREST WAY,1020,1,1.75,Hot Air-no Duc,1515,1
100806,    204,     10,     34,      6,12B ROSE CREST WAY,1020,1,1.75,Hot Air-no Duc,1178,1
100819,    204,     10,     36,     17,6B LILAC CIR,1020,1,1.75,Forced Air-Duc,1328,1
100820,    204,     10,     36,     16,6A LILAC CIR,1020,1,1.75,Forced Air-Duc,2307,1
100821,    204,     10,     36,     15,8B LILAC CIR,1020,1,1.75,Forced Air-Duc,2307,1
100822,    204,     10,     36,     14,8A LILAC CIR ,1020,1,1.75,Forced Air-Duc,1328,1
100823,    204,     10,     36,     13,10B LILAC CIR,1020,1,2,Forced Air-Duc,2102,1
100824,    204,     10,     36,     12,10A LILAC CIR,1020,1,2,Forced Air-Duc,2102,1
100825,    204,     10,     36,     11,15C LILAC CIR,1020,1,2,Forced Air-Duc,1598,1
100826,    204,     10,     36,     10,15B LILAC CIR,1020,1,2,Forced Air-Duc,1271,1
100827,    204,     10,     36,      9,15A LILAC CIR,1020,1,1.75,Hot Air-no Duc,1585,1
100828,    204,     10,     36,      8,12 LILAC CIR ,1020,1,2,Forced Air-Duc,2516,1
100829,    204,     10,     36,      7,13 LILAC CIR,1020,1,2,Forced Air-Duc,2516,1
100830,    204,     10,     36,      6,11B LILAC CIR,1020,1,1.75,Forced Air-Duc,2102,1
100831,    204,     10,     36,      5,11A LILAC CIR,1020,1,1.75,Forced Air-Duc,2166,1
100832,    204,     10,     36,      4,9B LILAC CIR,1020,1,2,Forced Air-Duc,2307,1
100833,    204,     10,     36,      3,9A LILAC CIR,1020,1,1.75,Forced Air-Duc,1328,1
100834,    204,     10,     36,      2,7B LILAC CIR,1020,1,2,Forced Air-Duc,2307,1
100835,    204,     10,     36,      1,7A LILAC CIR,1020,1,1.75,Forced Air-Duc,1328,1
100836,    103,     35,     18,       ,26D BRADLEY DR #D,1020,1,2.5,Forced Air-Duc,1872,1
100837,    103,     35,     17,       ,26C BRADLEY DR #C,1020,1,2.5,Forced Air-Duc,1404,1
100838,    103,     35,     16,       ,26B BRADLEY DR #B,1020,1,2,Forced Air-Duc,1080,1
100839,    103,     35,     15,       ,26A BRADLEY DR #A,1020,1,2.5,Forced Air-Duc,1872,1
100840,    103,     35,     14,       ,22D BRADLEY DR #D,1020,1,2.5,Forced Air-Duc,1872,1
100841,    103,     35,     13,       ,22C BRADLEY DR #C,1020,1,2.5,Hot Air-no Duc,1404,1
100842,    103,     35,     12,       ,22B BRADLEY DR #B,1020,1,2,Hot Air-no Duc,1260,1
100843,    103,     35,     11,       ,22A BRADLEY DR #A,1020,1,2.5,Forced Air-Duc,1872,1
100844,    103,     35,     10,       ,18E BRADLEY DR #E,1020,1,2.5,Forced Air-Duc,1404,1
100845,    103,     35,      9,       ,18D BRADLEY DR #D,1020,1,2,Forced Air-Duc,1296,1
100846,    103,     35,      8,       ,18C BRADLEY DR #C,1020,1,2.5,Forced Air-Duc,1404,1
100847,    103,     35,      7,       ,18B BRADLEY DR #B,1020,1,2,Forced Air-Duc,1296,1
100848,    103,     35,      6,       ,18A BRADLEY DR #A,1020,1,2,Forced Air-Duc,1296,1
100849,    103,     35,      5,       ,8E BRADLEY DR #E,1020,1,2,Forced Air-Duc,1404,1
100850,    103,     35,      4,       ,8D BRADLEY DR #D,1020,1,2,Forced Air-Duc,1296,1
100851,    103,     35,      3,       ,8C BRADLEY DR #C,1020,1,2,Forced Air-Duc,1296,1
100852,    103,     35,      2,       ,8B BRADLEY DR #B,1020,1,2,Forced Air-Duc,1296,1
100853,    103,     35,      1,       ,8A BRADLEY DR #A,1020,1,2,Forced Air-Duc,1404,1
101115,    202,     80,      1,       ,698A TOWNSEND RD #A,1020,1,1,Forced Air-Duc,851,1
101116,    202,     80,      4,       ,680D TOWNSEND RD #D,1020,1,1,Forced Air-Duc,2560,1
101117,    202,     80,      3,       ,690C TOWNSEND RD #C,1020,1,2,Forced Air-Duc,2280,1
101118,    202,     80,      2,       ,698B TOWNSEND RD #B,1020,1,1,Forced Air-Duc,864,1
101195,    135,     20,      1,       ,243A FORGE VILLAGE RD #A,1020,1,2,Forced Air-Duc,1265,1
101196,    135,     20,      2,       ,243B FORGE VILLAGE RD #B,1020,1,2,Forced Air-Duc,1265,1
101285,    115,     41,      1,       ,1A MAIN ST #A,1020,1,2,Forced Air-Duc,3272,1
101286,    115,     41,      2,       ,1B MAIN ST #B,1020,1,2,Forced Air-Duc,2006,1
101325,    113,      9,      1,      1,134-1A MAIN ST #1A,3401,1,1,Forced Air-Duc,925,1
