Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Usrfld_208_Desc,Line_
4299,    133,     11,      0,       ,1 FORGE VILLAGE RD,3400,2,2,6764,Forced Air-Duc,1
4300,    133,     10,      0,       ,777 BOSTON RD,0130,2,1,1512,Forced Air-Duc,1
4475,    134,      7,      0,       ,871 BOSTON RD,3250,1,1.75,6402,Forced Air-Duc,1
4476,    134,      6,      0,       ,867 BOSTON RD,3400,1,1,2235,Forced Air-Duc,1
4561,    135,     36,      0,       ,27 GILSON RD,0310,1,2,2752,Hot Water,1
4572,    138,     19,      0,       ,20 ORR RD,0101,2,1,0,None,1
4672,    222,     19,      0,       ,100 BOSTON RD ,3250,1,1,9735,Forced Air-Duc,1
4672,    222,     19,      0,       ,100 BOSTON RD ,3250,2,2.5,16020,Forced Air-Duc,1
4955,    234,      1,      0,       ,245 LOWELL RD,0310,1,1,8400,Forced Air-Duc,1
4959,    206,      7,      1,       ,293 TOWNSEND RD,9391,1,1,1362,Forced Air-Duc,1
100232,    216,     12,      0,     12,501 MAIN ST ,3520,1,1,4012,Forced Air-Duc,1
100502,    253,     23,      0,       ,99 SHIRDI WAY,906C,1,2,41562,Forced Air-Duc,1
100740,    113,      7,      2,       ,142B MAIN ST #B,0310,1,2,2200,Hot Water,1
101143,    108,      1,      4,       ,45 FARMERS ROW,9351,1,2,13786,Forced Air-Duc,1

