Internal_ID,MBLU,Block,Lot,Unit,Location,Primary_Use,Bldg_,Stories,Living_AreaGBA,Heat_Type_Desc,Line_
272,    129,    191,      0,       ,37 BOATHOUSE RD ,1013,1,2,2018,Forced Air-Duc,1
277,    129,      2,      0,       ,241 LOST LAKE DR,1010,1,2.5,2214,Forced Air-Duc,1
281,    129,      7,      0,       ,243 LOST LAKE DR,1090,1,1,1118,Forced Air-Duc,1
281,    129,      7,      0,       ,243 LOST LAKE DR,1090,2,1,680,Forced Air-Duc,1
282,    129,      8,      0,       ,245 LOST LAKE DR,1010,1,1,1113,Forced Air-Duc,1
283,    129,      9,      0,       ,265 LOST LAKE DR,1040,1,2.75,2765,Hot Water,1
284,    129,     10,      0,       ,271 LOST LAKE DR,1010,1,1,984,Hot Water,1
285,    129,    232,      0,       ,5A BALSAM WALK ,1040,1,2,2907,Electr Basebrd,1
287,    129,    233,      0,       ,11 BALSAM WALK,1010,1,1,960,Hot Water,1
288,    129,    234,      0,       ,19 BALSAM WALK,1010,1,1,700,Forced Air-Duc,1
292,    129,    244,      0,       ,29 ARROW TRL ,1010,1,2.5,2283,Forced Air-Duc,1
313,    124,     46,      0,       ,48 INDIAN RD,1010,1,2,1008,Electr Basebrd,1
315,    124,     41,      0,       ,47 INDIAN RD,1010,1,1,844,Hot Water,1
321,    129,    214,      0,       ,72 BOATHOUSE RD ,1010,1,1,364,None,1
324,    129,    211,      0,       ,88 BOATHOUSE RD,1010,1,1,375,None,1
325,    130,     93,      0,       ,98 BOATHOUSE RD,1013,1,2,912,Forced Air-Duc,1
326,    123,     30,      0,       ,100 BOATHOUSE RD,1013,1,2,880,None,1
327,    129,    196,      0,       ,47 BOATHOUSE RD,1013,1,2,2038,Hot Water,1
328,    129,    197,      0,       ,49 BOATHOUSE RD,1013,1,1,660,None,1
330,    129,    199,      0,       ,63 BOATHOUSE RD,1013,1,1,320,None,1
331,    129,    201,      0,       ,65 BOATHOUSE RD,1013,1,2,1236,Hot Water,1
332,    129,    202,      0,       ,67 BOATHOUSE RD,1013,1,1,841,Hot Water,1
