MBLU,Block,Lot,Unit,Location,Heat_Sys_Desc
    204,     10,     42,     11,55 MAGNOLIA LN,Gas
    204,     10,     42,     12,57 MAGNOLIA LN ,Gas
    204,     10,     42,     13,67 MAGNOLIA LN,Gas
    216,      1,      5,       ,489 MAIN ST ,Gas
    216,      1,     1A,       ,491-A MAIN ST #A,Gas
    216,      1,     1B,       ,491-B MAIN ST #B,Gas
    216,      1,     1C,       ,491-C MAIN ST #C,Gas
    216,      1,     1D,       ,491-D MAIN ST #D,Gas
    216,      1,     1E,       ,491-E MAIN ST #E,Gas
    216,      1,     1F,       ,491-F MAIN ST #F,Gas
    216,      1,     1G,       ,491-G MAIN ST #G,Gas
    216,      1,     2C,       ,493-C MAIN ST #C,Gas
    216,      1,     2E,       ,493-E MAIN ST #E,Gas
    216,      1,     2F,       ,493-F MAIN ST #F,Gas
    216,      1,     2G,       ,493-G MAIN ST #G,Gas
    216,      1,     3A,       ,495-A MAIN ST #A,Gas
    216,      1,     3B,       ,495-B MAIN ST #B,Gas
    216,      1,     3C,       ,495-C MAIN ST #C,Gas
    216,      1,     3D,       ,495-D MAIN ST #D,Gas
    216,      1,     3E,       ,495-E MAIN ST #E,Gas
    216,      1,     4A,       ,497-A MAIN ST #4A,Gas
    216,      1,     4B,       ,497-B MAIN ST #B,Gas
    216,      1,     4C,       ,497-C MAIN ST #C,Gas
    216,      1,     4D,       ,497-D MAIN ST #D,Gas
    216,      1,     4E,       ,497-E MAIN ST #E,Gas
    216,      1,     4F,       ,497-F MAIN ST #F,Gas
    216,     12,      0,     1A,511A MAIN ST #A,Gas
    216,     12,      0,     1B,511B MAIN ST #B,Gas
    216,     12,      0,     1C,511C MAIN ST #C,Gas
    216,     12,      0,     1D,511D MAIN ST #D,Gas
    216,     12,      0,     2A,513A MAIN ST #A,Gas
    216,     12,      0,     2B,513B MAIN ST #B,Gas
    216,     12,      0,     2C,513C MAIN ST #C,Gas
    216,     12,      0,     2D,513D MAIN ST #D,Gas
    216,     12,      0,     3A,523A MAIN ST #A,Gas
    216,     12,      0,     3B,523B MAIN ST #B,Gas
    216,     12,      0,     3C,523C MAIN ST #C,Gas
    216,     12,      0,     3D,523D MAIN ST #D,Gas
    216,     12,      0,     4A,521A MAIN ST #A,Gas
    216,     12,      0,     4B,521B MAIN ST #B,Gas
    216,     12,      0,     4C,521C MAIN ST #C,Gas
    216,     12,      0,     4D,521D MAIN ST #D,Gas
    216,     12,      0,     5A,519A MAIN ST #A,Gas
    216,     12,      0,     5B,519B MAIN ST #B,Gas
    216,     12,      0,     5C,519C MAIN ST #C,Gas
    216,     12,      0,     5D,519D MAIN ST #D,Gas
    216,     12,      0,     6A,517A MAIN ST #A,Gas
    216,     12,      0,     6B,517B MAIN ST #B,Gas
    216,     12,      0,     6C,517C MAIN ST #C,Gas
    216,     12,      0,     6D,517D MAIN ST #D,Gas
    216,     12,      0,     7A,515A MAIN ST #A,Gas
    216,     12,      0,     7B,515B MAIN ST #B,Gas
    216,     12,      0,     7C,515C MAIN ST #C,Gas
    216,     12,      0,     7D,515D MAIN ST #D,Gas
    216,     12,      0,     8A,509A MAIN ST #A,Gas
    216,     12,      0,     8B,509B MAIN ST #B,Gas
    216,     12,      0,     8C,509C MAIN ST #C,Gas
    216,     12,      0,     8D,509D MAIN ST #D,Gas
    216,     12,      0,     9A,507A MAIN ST #A,Gas
    216,     12,      0,     9B,507B MAIN ST #B,Gas
    216,     12,      0,     9C,507C MAIN ST #C,Gas
    216,     12,      0,     9D,507D MAIN ST #D,Gas
    216,     12,      0,    10A,505A MAIN ST #A,Gas
    216,     12,      0,    10B,505B MAIN ST #B,Gas
    216,     12,      0,    10C,505C MAIN ST #C,Gas
    216,     12,      0,    10D,505D MAIN ST #D,Gas
    216,     12,      0,    11A,503A MAIN ST #A,Gas
    216,     12,      0,    11B,503B MAIN ST #B,Gas
    216,     12,      0,    11C,503C MAIN ST #C,Gas
    216,     12,      0,    11D,503D MAIN ST #D,Gas
    216,     31,      1,      A,176A GRATUITY RD ,Gas
    216,     31,      2,      B,176B GRATUITY RD ,Gas
    216,     78,      1,       ,78  NOD RD  #A,Gas
    216,     78,      2,       ,78  NOD RD  #B,Oil
    216,     99,      1,      A,458A MAIN ST #A,Electric
    216,     99,      1,      B,458B MAIN ST #B,Electric
    220,     10,      A,       ,91A CULVER RD #A,Oil
    220,     10,      B,       ,91B CULVER RD #B,Gas
    224,     24,     1A,       ,180A MARTINS POND RD,Gas
    224,     24,     1B,       ,180B MARTINS POND RD,Gas
    225,     11,    001,       ,68-1 COMMON ST #1,Oil
    225,     11,    002,       ,68-2 COMMON ST #2,Oil
