"USECODE","FUELTYPE","AREASQ"
"334","Gas",1880
"316","Oil",10500
"032","Oil",2340
"011","Electric",7040
"960","Oil",9825
"332","Oil",1700
"316","Gas",5040
"316","Coal or Wood",10593
"011","Gas",6750
"960","Gas",5300
"960","Gas",5300
"960","Gas",5300
"960","Gas",5300
"032","Gas",7614
"960","Typical",16346
"971","Typical",4813
"316","Oil",2775
"316","Oil",10200
"931","Gas",1320
"316","Gas",6854
"101","NONE",1560
"101","NONE",3696
"330","Oil",1200
"326","Oil",3108
"322","Oil",4522
"322","Gas",3500
"322","Gas",4100
"322","Gas",1815
"316","Oil",1668
"316","NONE",5474
"316","NONE",2568
"316","Oil",640
"954","Typical",4816
"332","Oil",1960
"322","Oil",1620
"316","Gas",17456
"322","Oil",3260
"112","Gas",11424
"934","Gas",13350
"934","Oil",187607
"322","Oil",5750
"325","Gas",4640
"325","Gas",6848
"931","Oil",1124
"032","Oil",3232
"332","Gas",8708
"931","Oil",1480
"400","Oil",44680
"326","Gas",2181
"334","Electric",613
"400","Gas",7860
"342","Oil",5281
"354","Gas",21000
"316","Oil",7000
"326","Gas",18460
"326","Gas",2692
"316","Coal or Wood",3800
"316","Gas",7800
"332","Oil",2352
"332","Oil",1344
"316","Oil",5000
"901","Oil",2833
"961","Typical",4360
"326","Gas",4000
"340","Oil",1672
"316","Oil",9639
"901",NA,1232
"400","NONE",38976
"032","Gas",2000
"322","Oil",6346
"400","Oil",15300
"400","Gas",18856
"340","Gas",5539
"340","Gas",6840
"316","Coal or Wood",11900
"961","Oil",1080
"961","Oil",3047
"985","Gas",903
"330","Gas",2052
"353","Oil",2293
"332","Gas",2562
"341","Oil",2576
"316","Oil",9900
"322","Oil",3655
"322","Gas",3370
"322","Gas",69250
"322","Gas",2203
"322","Gas",14456
"341","Gas",20860
"332","Gas",2070
"400","Gas",7560
"400","Gas",7560
"400","Gas",7560
"400","Gas",7560
"323","Gas",6435
"330","Oil",6160
"400","Oil",3388
"805","Oil",434
"032","Gas",5678
"997","Gas",17970
"997","Gas",17970
"997","Gas",17970
"997","Gas",17970
"997","Gas",17970
"997","Gas",17970
"997","Gas",17970
"997","Gas",17970
"997","Gas",17970
"332","Oil",2810
"400","Oil",9000
"010","Oil",4800
"961","Gas",2160
"332","Coal or Wood",1400
"332","Oil",1360
"332","Gas",6800
"316","Coal or Wood",11944
"316","Oil",9910
"316","Oil",10800
"316","Oil",169776
"316","Oil",5468
"316","Oil",15184
"316","Oil",3230
"316","Gas",5550
"401","Gas",7210
"400","Gas",24664
"354","Oil",18964
"354","Oil",30665
"354","Gas",115882
"332","Oil",960
"332","Oil",1349
"316","Coal or Wood",31600
"316","Gas",81200
"316","Oil",75000
"316","Typical",7200
"316","Gas",12000
"322","Oil",7904
"959","Gas",2696
"112","Gas",18048
"934","Gas",68126
"934","Typical",41429
"300","Gas",50911
"322","Gas",2128
"112","Gas",15661
"934","Typical",62648
"960","Typical",4756
"960","Typical",6773
"960","Typical",22875
"931","Oil",1384
"910","Typical",109784
"910","Typical",28468
"335","NONE",2880
"032","Gas",4562
"316","Gas",5000
"316","Gas",1152
"935","Typical",2873
"935","Typical",16856
"400","Oil",7236
"013","Gas",3696
"112","Gas",7032
"112","Gas",7144
"112","Gas",10548
"112","Gas",12312
"112","Gas",12312
"032","Oil",6915
"340","Oil",3520
"934","Oil",52934
"401","Oil",11700
"326","Gas",6590
"112","Electric",7268
"112","Electric",7268
"112","Electric",7268
"112","Electric",7268
"112","Electric",7268
"112","Electric",7268
"112","Electric",7268
