"USECODE_char","FUELTYPE","AREASQ","STORYHEIGHT","USECODE"
"Single Family Residence","GAS",1817,1,101
"Single Family Residence","GAS",2068,2,101
"Single Family Residence","GAS",2016,1,101
"Single Family Residence","GAS",1764,1,101
"Single Family Residence","GAS",2252,2,101
"Single Family Residence","GAS",1832,2,101
"Single Family Residence","GAS",1749,1,101
"Single Family Residence","GAS",2488,2,101
"Single Family Residence","GAS",1855,2,101
"Single Family Residence","GAS",2159,1,101
"Single Family Residence","GAS",1764,1,101
"Single Family Residence","OIL",2600,2,101
"Single Family Residence","GAS",2420,2,101
"Single Family Residence","GAS",1718,1,101
"Single Family Residence","GAS",1782,1,101
"Single Family Residence","GAS",2014,2,101
"Single Family Residence","GAS",3429,1.7,101
"Single Family Residence","GAS",2240,2,101
"Single Family Residence","GAS",1944,1,101
"Single Family Residence","GAS",2128,2,101
"Single Family Residence","GAS",2128,2,101
"Single Family Residence","GAS",2076,2,101
"Single Family Residence","GAS",2034,2,101
"Single Family Residence","GAS",1896,1,101
"Single Family Residence","GAS",2492,1,101
"Single Family Residence","GAS",1765,1,101
"Single Family Residence","OIL",2868,2,101
"Single Family Residence","OIL",3826,2,101
"Single Family Residence","OIL",2600,2,101
"Single Family Residence","OIL",2080,2,101
"Single Family Residence","OIL",2080,2,101
"Single Family Residence","OIL",2535,2,101
"Single Family Residence","OIL",2080,2,101
"Single Family Residence","OIL",2256,2,101
"Single Family Residence","OIL",3226,1.7,101
"Single Family Residence","OIL",2730,1,101
"Single Family Residence","OIL",2592,1,101
"Single Family Residence","PROPANE-TANK",2568,2,101
"Single Family Residence","ELECTRIC",1689,1,101
"Single Family Residence","OIL",2144,2,101
"Single Family Residence","OIL",884,1,101
"Single Family Residence","OIL",1120,1,101
"Single Family Residence","GAS",1638,1.7,101
"Single Family Residence","GAS",2320,2,101
"Single Family Residence","GEO THERMAL",1694,1,101
"Single Family Residence","OIL",2868,2,101
"Single Family Residence","GAS",2032,1,101
"Single Family Residence","GAS",1450,1,101
"Single Family Residence","GAS",2080,2,101
"Single Family Residence","GAS",1666,2,101
"Single Family Residence","GAS",1638,1.7,101
"Single Family Residence","GAS",1252,1,101
"Single Family Residence","GAS",1786,2,101
"Single Family Residence","GAS",1252,1,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","GAS",1392,1.7,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","GAS",1252,1,101
"Single Family Residence","GAS",1248,1,101
"Single Family Residence","GAS",3640,2,101
"Single Family Residence","OIL",1799,1,101
"Single Family Residence","GAS",2314,2,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","GAS",1536,2,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","GAS",1876,1.7,101
"Single Family Residence","GAS",1816,1,101
"Single Family Residence","GAS",1737,1.7,101
"Single Family Residence","GAS",1248,1,101
"Single Family Residence","GAS",1248,1,101
"Single Family Residence","GAS",1624,1.7,101
"Single Family Residence","GAS",768,1,101
"Single Family Residence","GAS",1248,1,101
"Single Family Residence","GAS",1442,1,101
"Single Family Residence","GAS",1567,1,101
"Single Family Residence","OIL",1152,1,101
"Two-Family","OIL",2402,2,104
"Single Family Residence","OIL",1859,1,101
"Single Family Residence","OIL",1403,1,101
"Single Family Residence","GAS",1440,1.7,101
"Single Family Residence","OIL",1344,1.7,101
"Single Family Residence","OIL",1644,1.7,101
"Single Family Residence","GAS",1176,1,101
"Single Family Residence","OIL",1260,1.7,101
"Single Family Residence","OIL",2220,1.7,101
"Single Family Residence","OIL",1966,2,101
"Single Family Residence","GAS",1080,1,101
"Single Family Residence","GAS",1176,1,101
"Single Family Residence","GAS",900,1,101
"Single Family Residence","GAS",1676,1.7,101
"Single Family Residence","GAS",1232,1,101
"Single Family Residence","GAS",1593,1,101
"Single Family Residence","GAS",1152,1,101
"Single Family Residence","GAS",1152,1,101
"Single Family Residence","GAS",1272,1,101
"Single Family Residence","GAS",1536,2,101
"Single Family Residence","OIL",1040,1,101
"Two-Family","OIL",2676,2,104
"Single Family Residence","OIL",1660,1,101
"Single Family Residence","GAS",1920,1,101
"Single Family Residence","GAS",1842,1,101
"Single Family Residence","OIL",1608,1,101
"Single Family Residence","OIL",1671,1,101
"Single Family Residence","OIL",864,1,101
"Single Family Residence","OIL",1170,1,101
"Single Family Residence","GAS",1728,2,101
"Single Family Residence","OIL",1356,1.7,101
"Single Family Residence","OIL",1362,2,101
"Single Family Residence","OIL",1344,1.7,101
"Single Family Residence","OIL",1248,1,101
"Single Family Residence","OIL",1680,2,101
"Single Family Residence","OIL",1624,1.7,101
"Single Family Residence","OIL",1880,2,101
"Single Family Residence","OIL",1365,1.7,101
"Single Family Residence","OIL",1425,1.7,101
"Single Family Residence","GAS",1632,2,101
"Single Family Residence","GAS",1851,1,101
"Single Family Residence","OIL",1500,2,101
"Single Family Residence","GAS",1488,1.7,101
"Single Family Residence","OIL",1536,1,101
"Single Family Residence","OIL",1445,1.7,101
"Single Family Residence","ELECTRIC",1400,2,101
"Single Family Residence","OIL",840,1,101
"Single Family Residence","OIL",1456,1.7,101
"Single Family Residence","OIL",1372,2,101
"Single Family Residence","OIL",1170,1,101
"Single Family Residence","OIL",1470,2,101
"Single Family Residence","OIL",1042,1,101
"Single Family Residence","GAS",1864,1,101
"Single Family Residence","OIL",1148,1,101
"Single Family Residence","OIL",1536,1,101
"Single Family Residence","OIL",1378,1,101
"Single Family Residence","GAS",1456,2,101
"Single Family Residence","GAS",2000,2,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","OIL",1504,1.7,101
"Single Family Residence","GAS",1456,1.7,101
"Single Family Residence","GAS",1456,1.7,101
"Single Family Residence","OIL",1086,1,101
"Single Family Residence","OIL",1946,1.7,101
"Single Family Residence","OIL",2278,2,101
"Single Family Residence","OIL",768,1,101
"Single Family Residence","OIL",1352,1,101
"Single Family Residence","OIL",2439,1,101
"Single Family Residence","GAS",1904,1.7,101
"Single Family Residence","GAS",2318,1,101
"Single Family Residence","OIL",2240,2,101
"Single Family Residence","GAS",3104,1,101
"Single Family Residence","OIL",3184,2,101
"Single Family Residence","GAS",1532,1,101
"Single Family Residence","GAS",1524,1.7,101
"Single Family Residence","OIL",1371,1,101
"Single Family Residence","GAS",1476,1,101
"Single Family Residence","OIL",1248,1,101
"Single Family Residence","OIL",1648,2,101
"Single Family Residence","GAS",1622,1,101
"Single Family Residence","OIL",1478,1.7,101
"Single Family Residence","GAS",2119,2,101
"Single Family Residence","OIL",1644,1,101
"Single Family Residence","GAS",1187,1,101
"Single Family Residence","GAS",1056,1,101
"Single Family Residence","OIL",1104,1,101
"Single Family Residence","OIL",1176,1.7,101
"Single Family Residence","OIL",960,1,101
"Single Family Residence","OIL",1000,1,101
"Single Family Residence","OIL",1136,1,101
"Single Family Residence","GAS",1568,2,101
"Single Family Residence","GAS",2296,2,101
"Single Family Residence","GAS",1776,1.7,101
"Single Family Residence","OIL",1758,1.7,101
"Single Family Residence","OIL",816,1,101
"Single Family Residence","OIL",1344,1.7,101
"Single Family Residence","GAS",1568,2,101
"Single Family Residence","OIL",816,1,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","OIL",1344,1.7,101
"Single Family Residence","GAS",1368,1.7,101
"Single Family Residence","GAS",1037,1,101
"Single Family Residence","GAS",1344,1.7,101
"Single Family Residence","OIL",2044,2,101
"Single Family Residence","OIL",816,1,101
"Single Family Residence","OIL",1344,1.7,101
"Single Family Residence","GAS",2050,2,101
"Single Family Residence","GAS",1548,1.7,101
"Single Family Residence","GAS",1058,1,101
"Single Family Residence","OIL",1344,1.7,101
"Single Family Residence","GAS",1326,1,101
"Single Family Residence","GAS",1748,1.7,101
"Single Family Residence","OIL",1136,1,101
"Single Family Residence","GAS",1672,2,101
"Single Family Residence","GAS",1732,1.7,101
"Single Family Residence","OIL",936,1,101
"Single Family Residence","OIL",2244,2,101
"Single Family Residence","OIL",1524,1.7,101
"Single Family Residence","GAS",2714,2,101
"Single Family Residence","OIL",936,1,101
"Single Family Residence","OIL",906,1,101
"Single Family Residence","GAS",1620,1.7,101
"Single Family Residence","OIL",1930,2,101
"Single Family Residence","OIL",1438,1,101
"Single Family Residence","OIL",1344,1.7,101
"Single Family Residence","OIL",2050,2,101
"Single Family Residence","OIL",2064,2,101
"Single Family Residence","ELECTRIC",3532,1,101
"Single Family Residence","GAS",1394,1,101
"Single Family Residence","GAS",1036,1,101
"Single Family Residence","OIL",2121,1,101
"Single Family Residence","ELECTRIC",2450,1,101
"Single Family Residence","ELECTRIC",2618,1,101
"Single Family Residence","OIL",1522,1,101
"Single Family Residence","GAS",2320,2,101
"Single Family Residence","GAS",2672,1,101
"Single Family Residence","GAS",2426,2,101
