"USECODE_char","FUELTYPE","AREASQ","STORYHEIGHT","USECODE"
"Single Family Residence","GAS",2798,1.7,101
"Single Family Residence","GAS",3148,2,101
"Single Family Residence","GAS",2628,1.7,101
"Single Family Residence","GAS",2666,1.7,101
"Single Family Residence","GAS",3635,2,101
"Single Family Residence","GAS",3388,2,101
"Single Family Residence","GAS",2544,2,101
"Single Family Residence","GAS",2364,2,101
"Single Family Residence","GAS",2160,2,101
"Single Family Residence","GAS",3019,1.7,101
"Single Family Residence","GAS",2769,2,101
"Single Family Residence","GAS",3189,1.7,101
"Single Family Residence","GAS",3357,1.7,101
"Single Family Residence","GAS",1562,1,101
"Single Family Residence","GAS",2656,1.7,101
"Single Family Residence","GAS",5298,2,101
"Single Family Residence","GAS",3124,2,101
"Single Family Residence","GAS",3058,2,101
"Single Family Residence","GAS",2814,2,101
"Single Family Residence","GAS",2346,1.7,101
"Single Family Residence","GAS",2444,2,101
"Single Family Residence","GAS",3740,1.7,101
"Single Family Residence","GAS",3650,2,101
"Single Family Residence","GAS",3059,1.7,101
"Single Family Residence","GAS",2284,2,101
"Single Family Residence","GAS",2725,1,101
"Single Family Residence","GAS",3105,2,101
"Single Family Residence","OIL",2516,2,101
"Single Family Residence","GAS",2788,2,101
"Single Family Residence","GAS",2756,1,101
"Single Family Residence","GAS",2733,2,101
"Single Family Residence","OIL",1844,1,101
"Single Family Residence","GAS",2028,2,101
"Single Family Residence","GAS",2156,2,101
"Single Family Residence","GAS",2112,2,101
"Single Family Residence","GAS",2112,2,101
"Single Family Residence","GAS",1492,2,101
"Single Family Residence","GAS",2476,2,101
"Single Family Residence","GAS",2414,2,101
"Single Family Residence","GAS",3602,2,101
"Single Family Residence","GAS",2412,2,101
"Single Family Residence","GAS",2482,2,101
"Single Family Residence","GAS",2028,2,101
"Single Family Residence","GAS",2634,2,101
"Single Family Residence","GAS",2164,2,101
"Single Family Residence","GAS",2740,2,101
"Single Family Residence","GAS",1912,2,101
"Single Family Residence","GAS",2752,2,101
"Single Family Residence","GAS",3084,2,101
"Single Family Residence","GAS",2324,2,101
"Single Family Residence","GAS",4001,2,101
"Single Family Residence","GAS",4658,2,101
"Single Family Residence","GAS",3098,2,101
"Single Family Residence","GAS",2308,2,101
"Single Family Residence","GAS",2868,2,101
"Single Family Residence","GAS",3172,2,101
"Single Family Residence","GAS",2312,2,101
"Single Family Residence","GAS",2374,2,101
"Single Family Residence","GAS",2690,2,101
"Single Family Residence","GAS",2824,2,101
"Single Family Residence","GAS",3304,2,101
"Single Family Residence","GAS",2348,2,101
"Single Family Residence","GAS",3332,2,101
"Single Family Residence","GAS",3992,2,101
"Single Family Residence","GAS",4058,2,101
"Single Family Residence","GAS",2842,2,101
"Single Family Residence","GAS",4305,2,101
"Single Family Residence","GAS",2418,2,101
"Single Family Residence","GAS",2892,2,101
"Single Family Residence","GAS",2426,2,101
"Single Family Residence","GAS",2418,2,101
"Single Family Residence","GAS",2458,2,101
"Single Family Residence","GAS",2450,2,101
"Single Family Residence","GAS",2812,2,101
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2230,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2242,2,102
"Residential Condominium","GAS",2242,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2045,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2045,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2570,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2574,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1982,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2582,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2830,2,102
"Residential Condominium","GAS",2170,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",1970,2,102
"Residential Condominium","GAS",2394,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2230,2,102
"Residential Condominium","GAS",2370,2,102
"Residential Condominium","GAS",2500,2,102
"Residential Condominium","GAS",2770,2,102
"Residential Condominium","GAS",1958,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2780,2,102
"Residential Condominium","GAS",1949,2,102
"Residential Condominium","GAS",2000,2,102
"Residential Condominium","GAS",2230,2,102
"Single Family Residence","GAS",1040,1,101
"Single Family Residence","GAS",1038,1,101
"Single Family Residence","GAS",1040,1,101
"Single Family Residence","GAS",1980,1,101
"Single Family Residence","GAS",2108,1,101
"Single Family Residence","GAS",1540,1.7,101
"Single Family Residence","GAS",1370,1,101
"Single Family Residence","GAS",1792,1,101
"Single Family Residence","GAS",1972,1,101
"Single Family Residence","GAS",1984,1,101
"Single Family Residence","GAS",1792,1,101
"Single Family Residence","GAS",1692,1,101
"Single Family Residence","GAS",2660,2,101
"Single Family Residence","GAS",1428,1.7,101
"Single Family Residence","OIL",2000,1,101
"Single Family Residence","OIL",1589,1.7,101
"Single Family Residence","OIL",2939,1.7,101
"Single Family Residence","GAS",3218,1,101
"Single Family Residence","GAS",2662,2,101
"Single Family Residence","GAS",3334,2,101
"Single Family Residence","GAS",1684,1,101
"Single Family Residence","GAS",1630,1,101
"Single Family Residence","GAS",1820,1.7,101
"Single Family Residence","GAS",1729,1.7,101
"Single Family Residence","GAS",1644,1,101
"Single Family Residence","GAS",2060,1,101
"Single Family Residence","GAS",1598,1,101
"Single Family Residence","GAS",1556,1,101
"Single Family Residence","OIL",1796,1,101
"Single Family Residence","GAS",1556,1,101
"Single Family Residence","GAS",2428,1,101
"Single Family Residence","GAS",2192,1,101
"Single Family Residence","OIL",1568,2,101
"Single Family Residence","OIL",1988,1,101
"Single Family Residence","OIL",2088,1,101
"Single Family Residence","GAS",1684,1,101
"Single Family Residence","GAS",2376,1,101
"Single Family Residence","GAS",1918,1,101
"Single Family Residence","GAS",1600,2,101
"Single Family Residence","OIL",1904,2,101
"Single Family Residence","GAS",1547,1.7,101
"Single Family Residence","GAS",1632,1,101
"Single Family Residence","GAS",2092,1,101
"Single Family Residence","GAS",3472,1,101
"Single Family Residence","GAS",2144,1,101
"Single Family Residence","GAS",2420,1,101
"Single Family Residence","GAS",2836,1,101
"Single Family Residence","GAS",1929,1,101
"Single Family Residence","GAS",1554,1,101
"Single Family Residence","GAS",2526,2,101
"Single Family Residence","GAS",2644,2,101
"Single Family Residence","ELECTRIC",1056,1,101
"Single Family Residence","OIL",2312,1,101
"Single Family Residence","GAS",2036,2,101
"Single Family Residence","OIL",1904,2,101
"Single Family Residence","OIL",2216,2,101
"Single Family Residence","OIL",1755,1,101
"Single Family Residence","GAS",1386,1,101
"Single Family Residence","OIL",1702,1,101
"Single Family Residence","OIL",1242,1,101
"Single Family Residence","OIL",964,1,101
"Single Family Residence","OIL",1936,1.7,101
"Single Family Residence","OIL",1940,1,101
"Single Family Residence","OIL",1616,1,101
"Single Family Residence","OIL",810,1,101
"Single Family Residence","GAS",1214,1,101
"Single Family Residence","OIL",1040,1,101
"Single Family Residence","GAS",1696,1,101
"Single Family Residence","OIL",2056,1,101
"Single Family Residence","GAS",1036,1,101
"Single Family Residence","OIL",2032,2,101
"Single Family Residence","GAS",2108,2,101
"Single Family Residence","GAS",1226,1,101
"Single Family Residence","GAS",1040,1,101
"Single Family Residence","GAS",1040,1,101
"Single Family Residence","GAS",1264,1,101
"Single Family Residence","GAS",1564,1,101
"Single Family Residence","GAS",1264,1,101
"Single Family Residence","GAS",1795,1.7,101
"Single Family Residence","GAS",2056,1.7,101
"Single Family Residence","GAS",1806,1.7,101
"Single Family Residence","GAS",1296,1,101
"Single Family Residence","GAS",1496,1,101
"Single Family Residence","GAS",1040,1,101
"Single Family Residence","GAS",2056,1.7,101
"Single Family Residence","GAS",1460,1,101
"Single Family Residence","GAS",4788,2,101
"Single Family Residence","GAS",1844,1,101
"Single Family Residence","OIL",1356,1,101
"Single Family Residence","OIL",988,1,101
"Single Family Residence","OIL",2080,2,101
"Single Family Residence","GAS",1992,2,101
"Single Family Residence","OIL",1309,1.7,101
"Single Family Residence","GAS",2220,1,101
"Single Family Residence","GAS",1560,1,101
"Single Family Residence","OIL",1428,1.7,101
"Single Family Residence","OIL",1135,1,101
"Single Family Residence","OIL",978,1,101
"Single Family Residence","OIL",1675,1,101
"Single Family Residence","OIL",1168,1,101
"Single Family Residence","OIL",2082,2,101
"Single Family Residence","OIL",1568,2,101
"Single Family Residence","OIL",896,1,101
"Single Family Residence","OIL",1594,1,101
"Single Family Residence","ELECTRIC",960,1,101
"Single Family Residence","OIL",1384,1,101
"Single Family Residence","OIL",1844,2,101
"Single Family Residence","OIL",1274,2,101
"Single Family Residence","OIL",1452,1.7,101
"Single Family Residence","OIL",2352,2,101
"Single Family Residence","OIL",3103,2,101
"Single Family Residence","GAS",2436,1,101
"Single Family Residence","ELECTRIC",1890,1,101
"Single Family Residence","ELECTRIC",2300,1,101
"Single Family Residence","GAS",2664,2,101
"Single Family Residence","GAS",1636,1,101
"Single Family Residence","GAS",2320,2,101
"Single Family Residence","GAS",3356,1,101
"Single Family Residence","GAS",1876,1,101
"Single Family Residence","GAS",2112,1,101
"Single Family Residence","GAS",3072,1,101
"Single Family Residence","GAS",1644,1,101
"Single Family Residence","GAS",1712,1,101
"Single Family Residence","GAS",2260,2,101
"Single Family Residence","OIL",2256,1,101
"Single Family Residence","OIL",2684,2,101
"Single Family Residence","OIL",1508,1,101
"Single Family Residence","GAS",1704,2,101
"Single Family Residence","GAS",2128,2,101
"Single Family Residence","GAS",2344,1,101
"Single Family Residence","OIL",2384,1,101
"Single Family Residence","OIL",2970,2,101
"Single Family Residence","OIL",2434,2,101
"Single Family Residence","OIL",1656,1,101
"Single Family Residence","OIL",1568,1,101
"Single Family Residence","GAS",1664,1,101
"Single Family Residence","GAS",3212,1,101
"Single Family Residence","OIL",2262,2,101
"Single Family Residence","GAS",1848,1,101
"Single Family Residence","OIL",2060,1,101
"Single Family Residence","OIL",1920,1,101
"Single Family Residence","GAS",3184,1,101
"Single Family Residence","ELECTRIC",1680,1.7,101
"Single Family Residence","OIL",2334,1,101
"Single Family Residence","OIL",2450,1,101
"Single Family Residence","OIL",3268,2,101
"Single Family Residence","OIL",2954,1,101
"Single Family Residence","OIL",2696,1.7,101
"Single Family Residence","OIL",2168,1,101
"Single Family Residence","OIL",2594,2,101
"Single Family Residence","GAS",2540,1,101
"Single Family Residence","OIL",1904,2,101
"Single Family Residence","OIL",1584,1,101
"Single Family Residence","OIL",2084,1.7,101
"Single Family Residence","GAS",2444,2,101
"Single Family Residence","OIL",2076,1,101
"Single Family Residence","OIL",1848,1.7,101
"Single Family Residence","OIL",2596,1,101
"Single Family Residence","OIL",1838,1,101
"Single Family Residence","OIL",2713,2,101
"Single Family Residence","OIL",1904,1,101
"Single Family Residence","OIL",2352,2,101
"Single Family Residence","OIL",2484,2,101
"Single Family Residence","OIL",1512,1,101
"Single Family Residence","OIL",1959,2,101
"Single Family Residence","GAS",3002,2,101
"Single Family Residence","OIL",2668,2,101
"Single Family Residence","GAS",2692,1,101
"Single Family Residence","GAS",2680,1,101
"Single Family Residence","GAS",2680,1,101
"Single Family Residence","GAS",2260,2,101
"Single Family Residence","GAS",2468,1,101
"Single Family Residence","GAS",2194,2,101
"Single Family Residence","GAS",2344,1,101
"Single Family Residence","GAS",2344,1,101
"Single Family Residence","GAS",2036,1,101
"Single Family Residence","GAS",2360,2,101
"Single Family Residence","GAS",1730,1,101
"Single Family Residence","GAS",2016,1,101
"Single Family Residence","GAS",2296,2,101
"Single Family Residence","GAS",2150,2,101
"Single Family Residence","GAS",2816,2,101
"Single Family Residence","GAS",1744,1,101
"Single Family Residence","GAS",2652,1,101
"Single Family Residence","GAS",2578,1,101
