"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"102","Gas",1050,2
"102","Gas",1048,1
"102","Gas",1048,1
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1088,2
"102","Gas",1088,2
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",1088,2
"102","Gas",1088,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",1088,2
"102","Gas",1020,1
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Electric",1050,2
"102","Electric",1188,2
"102","Gas",1020,1
"102","Gas",1298,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",1298,2
"102","Gas",816,2
"102","Gas",868,1
"102","Gas",868,1
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",900,1
"102","Gas",824,1
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",1086,1
"102","Gas",1086,1
"102","Gas",1038,2
"102","Gas",1088,2
"102","Electric",1050,2
"102","Gas",816,2
"102","Gas",900,1
"102","Gas",816,1
"102","Gas",1086,1
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",854,1
"102","Gas",816,1
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",1038,2
"102","Gas",1088,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",792,1
"102","Gas",800,1
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1038,2
"102","Gas",1048,1
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",792,1
"102","Gas",935,1
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",816,2
"102","Gas",1048,1
"102","Gas",1048,1
"102","Gas",685,1
"102","Gas",796,1
"102","Gas",1088,2
"102","Gas",1088,2
"102","Gas",1048,1
"102","Gas",1048,1
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",800,1
"102","Gas",1000,1
"102","Gas",1088,2
"102","Gas",1088,2
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",1088,2
"102","Gas",1038,2
"102","Gas",1088,2
"102","Gas",1088,2
"102","Gas",1038,2
"102","Gas",1038,2
"102","Gas",992,1
"102","Gas",992,1
"102","Gas",674,1
"102","Gas",776,1
"102","Gas",992,1
"102","Gas",1125,1
"102","Gas",1088,2
"102","Gas",1188,2
"102","Gas",1052,1
"102","Gas",674,1
"102","Gas",1312,1
"102","Gas",1125,1
"102","Gas",1188,2
"102","Gas",1188,2
"102","Gas",854,1
"102","Gas",800,1
"102","Gas",1125,1
"102","Gas",1088,2
"102","Gas",1287,1
"102","Gas",1287,1
"102","Gas",728,1
"102","Gas",800,1
"102","Gas",1048,1
"102","Gas",1048,1
"102","Gas",1287,1
"102","Gas",1287,1
"102","Gas",1088,2
"102","Gas",1020,1
"102","Gas",846,1
"102","Gas",1226,1
"102","Gas",1020,1
"102","Gas",824,1
"102","Gas",1048,1
"102","Gas",1048,1
"102","Gas",796,1
"102","Gas",1178,1
"102","Gas",1287,1
"102","Gas",1020,1
"102","Electric",1048,1
"102","Gas",1088,2
"102","Gas",1172,1
"102","Electric",1040,1
"102","Gas",886,1
"102","Gas",868,1
"102","Gas",1020,1
"102","Gas",824,1
"102","Gas",1088,2
"102","Gas",1020,1
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",868,1
"102","Gas",886,1
"102","Gas",1020,1
"102","Gas",1188,2
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",1280,1
"102","Gas",1052,1
"102","Gas",900,1
"102","Gas",824,1
"102","Gas",1298,2
"102","Gas",816,2
"102","Gas",1188,2
"102","Gas",1287,1
"102","Gas",796,1
"102","Gas",935,1
"102","Gas",963,1
"102","Gas",968,1
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",886,1
"102","Gas",886,1
"102","Gas",800,1
"102","Gas",816,1
"102","Gas",1287,1
"102","Gas",1287,1
"102","Gas",674,1
"102","Gas",792,1
"102","Gas",900,1
"102","Gas",836,1
"102","Gas",1287,1
"102","Gas",1287,1
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",674,1
"102","Gas",900,1
"102","Gas",854,1
"102","Gas",792,1
"102","Gas",836,1
"102","Gas",836,1
"102","Gas",816,2
"102","Gas",1050,2
"102","Gas",726,1
"102","Gas",1320,1
"102","Gas",816,1
"102","Gas",935,1
"102","Gas",824,1
"102","Gas",886,1
"102","Gas",1200,1
"102","Gas",1320,1
"102","Gas",868,1
"102","Gas",824,1
"102","Oil",886,1
"102","Gas",868,1
"102","Gas",792,1
"102","Gas",1172,1
"102","Gas",1257,1
"102","Gas",1308,1
"102","Gas",900,1
"102","Gas",824,1
"102","Gas",962,1
"102","Gas",685,1
"102","Gas",935,1
"102","Gas",963,1
"102","Gas",1200,1
"102","Gas",1320,1
"102","Gas",792,1
"102","Gas",792,1
"102","Gas",1050,2
"102","Gas",1050,2
"102","Gas",854,1
"102","Gas",993,1
"102","Gas",1200,1
"102","Gas",1308,1
"102","Gas",1050,2
"102","Gas",816,2
"102","Gas",1172,1
"102","Electric",800,1
"102","Gas",816,1
"102","Gas",792,1
"102","Gas",1088,2
"102","Gas",1038,2
"102","Gas",854,1
"102","Gas",800,1
"102","Gas",800,1
"102","Gas",800,1
"102","Gas",1038,2
"102","Gas",1088,2
"102","Gas",1000,1
"102","Gas",989,1
"102","Gas",1308,1
"102","Gas",1293,1
"102","Gas",960,1
"102","Gas",674,1
"102","Gas",816,1
"102","Gas",756,1
"102","Gas",1172,1
"102","Gas",674,1
"102","Gas",935,1
"102","Electric",685,1
"102","Gas",963,1
"102","Electric",959,1
"102","Gas",816,1
"102","Gas",756,1
"102","Gas",816,1
"102","Gas",854,1
"102","Gas",992,1
"102","Gas",992,1
"102","Gas",1172,1
"102","Gas",800,1
"102","Gas",1293,1
"102","Gas",1220,1
"102","Gas",846,1
"102","Gas",846,1
"102","Gas",1312,1
"102","Gas",1272,2
"102","Gas",1220,1
"102","Gas",1287,1
"102","Gas",816,1
"102","Gas",674,1
"102","Gas",935,1
"102","Gas",674,1
"102","Gas",1305,1
"102","Gas",1287,1
"102","Gas",1341,2
"102","Gas",1048,1
"102","Gas",1172,1
"102","Gas",674,1
"102","Gas",674,1
"102","Gas",1050,1
"102","Gas",1024,2
"102","Gas",1024,2
"102","Gas",1009,1
"102","Gas",836,1
"102","Gas",1088,2
"102","Gas",1088,2
