"","USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"450","104","ELECTRIC",2040,"2"
"451","104","ELECTRIC",2040,"2"
"452","104","ELECTRIC",2540,"2"
"453","104","GAS",2990,"2"
"454","132",NA,0,NA
"455","101","OIL",3017,"2A"
"456","104","ELECTRIC",1872,"2"
"457","101","OIL",2494,"2"
"458","101","OIL",2016,"2"
"459","101","OIL",2482.5,"2A"
"460","101","OIL",2076,"1T"
"461","101","GAS",2126.25,"1T"
"462","101","GAS",2619,"2A"
"463","101","GAS",1713,"1"
"464","101","GAS",1796,"2A"
"465","101","OIL",1710,"2A"
"466","930",NA,0,NA
"467","101","GAS",2240,"2A"
"468","104","GAS",3540,"2A"
"469","104","GAS",4248,"2"
"470","104","OIL",2880,"2"
"471","104","GAS",2090,"2A"
"472","104","GAS",2904,"2A"
"473","101","OIL",2160,"2"
"474","104","OIL",2522,"2A"
"475","101","GAS",1266,"2"
"476","101","OIL",2350,"2A"
"477","101","OIL",2590,"2A"
"478","104","OIL",2920,"2A"
"479","101","GAS",1446,"2A"
"480","101","GAS",1659.6,"2"
"481","101","GAS",1554,"2A"
"482","101","GAS",1694,"2A"
"483","104","OIL",3506,"2"
"484","101","GAS",2070,"2A"
"485","104","GAS",3119.96,"2A"
"486","104","GAS",2800,"2A"
"487","104","OIL",2488,"2A"
"488","105","GAS",3929.3,"2A"
"489","101","GAS",1924,"2A"
"490","101","OIL",1524,"2A"
"491","101","GAS",1427,"2A"
"492","101","GAS",1586.1,"2A"
"493","132",NA,0,NA
"494","104","OIL",3037,"2A"
"495","104","OIL",1826.25,"2A"
"496","105","GAS",3234,"3"
"497","104","OIL",2410,"2A"
"498","105","OIL",3316.6,"2A"
"499","104","GAS",2671.2,"2A"
"500","101","GAS",2560,"2A"
"501","337",NA,0,NA
"502","337",NA,0,NA
"503","104","OIL",3131.4,"2A"
"504","101","GAS",1784,"2"
"505","101","NONE",1476,"2A"
"506","101","GAS",2176,"2A"
"507","101","GAS",2092,"2A"
"508","104","GAS",2835,"2"
"509","130",NA,0,NA
"510","101","OIL",2040,"2A"
"511","101","GAS",1805.44,"2A"
"512","101","OIL",1624,"2A"
"513","104","GAS",2300,"2A"
"514","101","GAS",1415,"2"
"515","101","OIL",1664,"2A"
"516","104","GAS",3696,"1"
"517","104","OIL",1458,"2A"
"518","101","GAS",1461,"2A"
"519","101","GAS",1650,"2A"
"520","101","GAS",2600,"1H"
"521","959","OIL",3751.8,"2H"
"522","101","OIL",1728,"2A"
"523","101","GAS",1578,"2"
"524","101","OIL",1572,"2"
"525","101","GAS",1744,"2A"
"526","101","OIL",1580,"2A"
"527","101","OIL",1618,"2"
"528","101","OIL",1684,"2A"
"529","101","GAS",1692,"2A"
"530","101","GAS",1724,"2"
"531","101","GAS",1737.6,"1H"
"532","101","OIL",2213,"2A"
"533","101","GAS",1622,"1T"
"534","101","GAS",1648,"2"
"535","101","GAS",1828,"2A"
"536","101","GAS",1583,"2A"
"537","101","GAS",1638.3,"2A"
"538","101","GAS",1408,"2A"
"539","132",NA,0,NA
"540","106",NA,0,NA
"541","104","GAS",2336,"2A"
"542","104","OIL",1780,"2A"
"543","104","OIL",2478,"2A"
"544","104","GAS",2357.5,"2A"
"545","104","GAS",2088,"2A"
"546","111","OIL",2631.2,"2A"
"547","105","GAS",2539.2,"2A"
"548","101","GAS",1502.4,"1"
"549","101","OIL",1596,"1H"
"550","104","GAS",2619.32,"2A"
"551","104","OIL",3072,"2A"
"552","323","GAS",25035,"2"
"553","104","OIL",2875,"2A"
"554","301","ELECTRIC",22634,"1"
"555","341","GAS",2664,"1"
"556","323","GAS",5344,"2"
"557","334","OIL",4900,"1"
"558","334","OIL",2648,"1H"
"559","104","GAS",2420,"2A"
"560","105","OIL",3564,"2A"
"561","101","GAS",1480,"2A"
"562","101","OIL",1896,"2A"
"563","104","GAS",3169.6,"2"
"564","101","GAS",1843,"2A"
"565","101","OIL",2058,"2A"
"566","337",NA,0,NA
"567","325","GAS",6084,"2"
"568","013","OIL",4449.4,"2A"
"569","931",NA,0,NA
"570","334","OIL",3348,"1"
"571","104","GAS",2400,"2"
"572","104","GAS",2393,"2A"
"573","104","OIL",2033,"2A"
"574","104","OIL",2001.4,"2A"
"575","101","GAS",1500,"2A"
"576","104","OIL",1832,"2A"
"577","132",NA,0,NA
"578","332","GAS",3552,"1"
"579","332","GAS",9804,"1"
"580","104","OIL",3217,"2A"
"581","104","OIL",1924,"2A"
"582","101","OIL",1724.8,"2A"
"583","104","GAS",2489.2,"2A"
"584","104","OIL",3136,"2A"
"585","104","OIL",3188,"2A"
"586","101","OIL",1240.5,"1T"
"587","101","OIL",1776,"2A"
"588","104","OIL",2662,"2A"
"589","132",NA,0,NA
"590","105","OIL",3600.5,"2A"
"591","104","OIL",2317.6,"2A"
"592","111","OIL",6384,"3"
"593","104","OIL",2174,"2"
"594","112","GAS",24900,"3"
"595","101","OIL",1382,"2A"
"596","104","NONE",2628,"2A"
"597","931","ELECTRIC",9210,"2"
"598","337",NA,0,NA
"599","341","OIL",2780,"1"
"600","104","GAS",2291.5,"2"
"601","105","GAS",3640,"2H"
