"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"101","Oil",966,1
"101","Oil",966,1
"101","Oil",966,1
"101","Oil",966,1
"101","Oil",968,1
"101","Oil",968,1
"101","Oil",970,1
"101","Oil",970,1
"101","Oil",971,1
"101","Oil",972,1
"101","Oil",974,1
"101","Oil",975,1
"101","Oil",975,1
"101","Oil",975,1
"101","Gas",977,1
"101","Oil",978,1
"101","Oil",980,1
"101","Oil",980,1
"101","Oil",980,1
"101","Oil",980,1
"101","Oil",980,1
"101","Propane",981,1
"101","Oil",982,1
"101","Oil",982,1
"101","Oil",982,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Oil",984,1
"101","Propane",984,1
"101","Oil",987,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",988,1
"101","Oil",989,1
"101","Oil",992,1
"101","Oil",992,1
"101","Gas",992,1
"101","Oil",995,1
"101","Oil",996,1
"101","Oil",996,1
"101","Gas",998,1
"101","Oil",999,1
"101","Oil",1000,1
"101","Oil",1000,1
"101","Oil",1000,1
"101","Oil",1000,1
"101","Oil",1001,1
"101","Oil",1001,1
"101","Oil",1002,1
"101","Gas",1002,1
"101","Oil",1004,1
"101","Oil",1004,1
"101","Oil",1005,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Oil",1008,1
"101","Gas",1008,1
"101","Gas",1008,1
"101","Electric",1008,1
"101","Oil",1012,1
"101","Oil",1014,1
"101","Oil",1014,1
"101","Gas",1014,1
"101","Oil",1015,1
"101","Oil",1015,1
"101","Oil",1015,1
"101","Oil",1018,1
"101","Oil",1018,1
"101","Oil",1018,1
"101","Oil",1022,1
"101","Oil",1024,1
"101","Oil",1024,1
"101","Oil",1025,1
"101","Oil",1025,1
"101","Oil",1025,1
"101","Oil",1025,1
"101","Oil",1025,1
"101","Oil",1025,1
"101","Oil",1026,1
"101","Oil",1027,1
"101","Oil",1028,1
"101","Oil",1029,1
"101","Oil",1030,1
"101","Oil",1030,1
"101","Oil",1030,1
"101","Oil",1032,1
"101","Oil",1032,1
"101","Oil",1032,1
"101","Oil",1032,1
"101","Gas",1032,1
"101","Oil",1034,1
"101","Oil",1034,1
"101","Oil",1035,1
"101","Oil",1035,1
"101","Electric",1035,1
"101","Oil",1036,1
"101","Oil",1036,1
"101","Gas",1036,1
"101","Oil",1038,1
"101","Electric",1038,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1040,1
"101","Oil",1043,1
"101","Oil",1046,1
"101","Oil",1046,1
"101","Oil",1049,1
