Town	Use code	Description	Stories	Stories_Desc	Style	Style Description	Living Area	Heat fuel	Fuel Description	Heat type	Type description
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2500	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2504	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2520	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2527	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2528	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2536	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2567	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2596	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2640	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2640	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2643	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2652	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2677	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2703	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2704	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2807	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2821	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2854	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2860	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2868	2	Oil	10	Hydro Air
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2869	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	2		3	Colonial	2870	3	Gas	4	Forced Air-Duc
