019-500                       	15754	NEWBURY ST(RT1)-AVG                     	285	NEWBURY ST                             	1	THE SHERMAN FAMILY LLC                  	                                        	285 NEWBURY ST UNIT 1                                                                                                                 	PEABODY                                 	MA	01960     	Commercial Condominium                  	                 	           	                                        	          	0	899800	899800	     	          	9750	OFFICE CONDOMINIUM                      	                                        	9750	1	1	                                        	                                        	          	          	          	          	                                        	                                        	                                        	          	1999	                                        	          	                                        	BR1     	 	                                        	   	                                        	   	   	   	   	   	   	   	   	   	   	   	   	   
019-501                       	15755	NEWBURY ST(RT1)-AVG                     	285	NEWBURY ST                             	2	THE SHERMAN FAMILY LLC                  	                                        	285 NEWBURY ST UNIT 2                                                                                                                 	PEABODY                                 	MA	01960     	Commercial Condominium                  	                 	           	                                        	          	0	914700	914700	     	          	9750	OFFICE CONDOMINIUM                      	                                        	9750	1	1	01                                      	                                        	          	          	          	          	UNIT HEAT                               	                                        	                                        	          	1999	                                        	          	                                        	BR1     	 	08                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
019-502                       	15756	NEWBURY ST(RT1)-AVG                     	285	NEWBURY ST                             	3	MJS FAMILY REALTY LLC                   	                                        	285 NEWBURY ST - UNIT 3                                                                                                               	PEABODY                                 	MA	01960     	Commercial Condominium                  	                 	           	                                        	          	0	757700	757700	     	          	11050	OFFICE CONDOMINIUM                      	                                        	11050	1	1	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1970	                                        	          	                                        	BR1     	 	03                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	   	   	   
023-079                       	16	SPOT(RES) WEST/SOUTH                    	706	LOWELL ST                              	          	N S BAPT CHURCH OF CAMBRIDGE            	CHAPEL & PARSONAGE                      	706 LOWELL ST                                                                                                                         	PEABODY                                 	MA	01960     	"Church, Mosque, Synagogue, Temple etc   "	                 	           	                                        	          	489800	240400	730200	     	1.9	1673	RELIGIOUS                               	                                        	1673	1	2	02                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1919	                                        	          	                                        	R1      	 	02                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
023-079                       	16	SPOT(RES) WEST/SOUTH                    	706	LOWELL ST                              	          	N S BAPT CHURCH OF CAMBRIDGE            	CHAPEL & PARSONAGE                      	706 LOWELL ST                                                                                                                         	PEABODY                                 	MA	01960     	"Church, Mosque, Synagogue, Temple etc   "	                 	           	                                        	          	489800	240400	730200	     	1.9	2516	RELIGIOUS                               	                                        	2516	2	2	02                                      	                                        	          	          	          	          	HW/STEAM                                	                                        	                                        	648	1860	                                        	          	                                        	R1      	 	02                                      	0	                                        	   	   	   	   	   	   	   	   	   	YES	   	   	   
023-080                       	17	SPOT(RES) WEST/SOUTH                    	710	LOWELL ST                              	          	ST ADELAIDES CATHOLIC CHURCH            	                                        	708 LOWELL ST                                                                                                                         	PEABODY                                 	MA	01960     	"Church, Mosque, Synagogue, Temple etc   "	                 	           	                                        	          	2207100	1701200	3908300	     	3.6	22658	RELIGIOUS                               	                                        	22658	1	2	01                                      	                                        	          	          	          	          	HW/STEAM                                	                                        	                                        	1442	1962	                                        	          	                                        	R1      	 	01                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
023-080                       	17	SPOT(RES) WEST/SOUTH                    	710	LOWELL ST                              	          	ST ADELAIDES CATHOLIC CHURCH            	                                        	708 LOWELL ST                                                                                                                         	PEABODY                                 	MA	01960     	"Church, Mosque, Synagogue, Temple etc   "	                 	           	                                        	          	2207100	1701200	3908300	     	3.6	4735	RESIDENTIAL 1 FAMILY                    	                                        	4735	2	2	03                                      	                                        	          	          	          	          	HW/STEAM                                	                                        	                                        	1332	1930	                                        	          	                                        	R1      	 	02                                      	0	                                        	   	   	   	YES	   	   	   	   	   	   	   	   	   
023-093                       	3220	"SOUTH OF LOWELL, LAKE ST (NORTHERN), WIN"	0	SAMOSET RD                             	          	ST ADELAIDES CATHOLIC CHURCH            	                                        	710 LOWELL ST                                                                                                                         	PEABODY                                 	MA	01960     	Religious Group - Other                 	                 	           	                                        	          	332100	121700	453800	     	0.6667	699	RELIGIOUS                               	                                        	699	1	1	01                                      	                                        	          	          	          	          	HEAT PUMP                               	                                        	                                        	55	2022	                                        	          	                                        	R1      	 	02                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	   	   	   
023-107                       	18	SPOT(RES) WEST/SOUTH                    	15	BOW ST                                 	          	CITY OF PEABODY                         	WEST MEMORIAL SCHOOL                    	24 LOWELL ST                                                                                                                          	PEABODY                                 	MA	01960     	"Improved, Education                     "	                 	           	                                        	          	4052400	3164500	7216900	     	8.7	49052	SCHOOL                                  	                                        	49052	1	1	01                                      	                                        	          	          	          	          	HW/STEAM                                	                                        	                                        	          	1961	                                        	          	                                        	R1      	 	03                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	   	   	   
024-006                       	19	SPOT(RES) WEST/SOUTH                    	682	LOWELL ST                              	          	CHABAD JEWISH CENTER INC                	                                        	4 MATTABON PL                                                                                                                         	PEABODY                                 	MA	01960     	"Churches, Synagogues And Temples        "	40819/571        	28-Mar-22	LAND + BLDG                             	1	437600	145200	582800	     	1.222	3090	SOCIAL/FRATERNAL HALL                   	                                        	3090	1	1	02                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	2006	                                        	          	                                        	R1      	 	02                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
024-041                       	20	SPOT(RES) WEST/SOUTH                    	1	ROOSEVELT AVE                          	          	ALNA MEDICAL REALTY LLC                 	                                        	ONE ROOSEVELT AVE - SUITE 201                                                                                                         	PEABODY                                 	MA	01960     	Medical Office                          	38298/274        	28-Feb-20	LAND + BLDG                             	2400000	1270500	1069900	2340400	     	1.98	13544	MEDICAL OFFICE BLDG                     	                                        	13544	1	1	02                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1964	                                        	          	                                        	R1      	 	06                                      	1	                                        	   	   	YES	   	   	   	   	   	   	YES	YES	   	   
024-067X                      	21	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	649	LOWELL ST                              	          	JACOBS PLACE REALTY LLC                 	                                        	8 BENEVENTO CIR                                                                                                                       	PEABODY                                 	MA	01960     	Shopping Centers                        	18190/507        	15-Jan-02	LAND + BLDG                             	1400000	1074500	687500	1762000	     	3.58	11162	STRIP SHOPPING CNTR                     	                                        	11162	1	3	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1984	                                        	          	                                        	BN      	 	03                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
024-067X                      	21	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	649	LOWELL ST                              	          	JACOBS PLACE REALTY LLC                 	                                        	8 BENEVENTO CIR                                                                                                                       	PEABODY                                 	MA	01960     	Shopping Centers                        	18190/507        	15-Jan-02	LAND + BLDG                             	1400000	1074500	687500	1762000	     	3.58	6432	MFG/PROCESSING                          	                                        	6432	2	3	01                                      	                                        	          	          	          	          	UNIT HEAT                               	                                        	                                        	          	1960	                                        	          	                                        	BN      	 	03                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
024-067X                      	21	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	649	LOWELL ST                              	          	JACOBS PLACE REALTY LLC                 	                                        	8 BENEVENTO CIR                                                                                                                       	PEABODY                                 	MA	01960     	Shopping Centers                        	18190/507        	15-Jan-02	LAND + BLDG                             	1400000	1074500	687500	1762000	     	3.58	3600	WAREHOUSE                               	                                        	3600	3	3	02                                      	                                        	          	          	          	          	UNIT HEAT                               	                                        	                                        	          	1988	                                        	          	                                        	BN      	 	07                                      	0	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
024-070                       	24	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	635	LOWELL ST                              	          	MEC PEABODY ASSOC LTD PRTNRSHP          	C/O KEYPOINT PARTNERS LLC               	ONE VAN DE GRAAFF DR - SUITE 402                                                                                                      	BURLINGTON                              	MA	01803     	Shopping Centers                        	                 	           	                                        	          	6463000	9561600	16024600	     	13.8	101630	SHOPPING CENTER >10 UNITS               	                                        	101630	1	2	01                                      	                                        	          	          	          	          	HEAT PUMP                               	                                        	                                        	          	1968	                                        	          	                                        	BN2     	 	03                                      	1	                                        	   	   	   	   	   	   	   	   	YES	   	YES	   	   
024-070                       	24	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	635	LOWELL ST                              	          	MEC PEABODY ASSOC LTD PRTNRSHP          	C/O KEYPOINT PARTNERS LLC               	ONE VAN DE GRAAFF DR - SUITE 402                                                                                                      	BURLINGTON                              	MA	01803     	Shopping Centers                        	                 	           	                                        	          	6463000	9561600	16024600	     	13.8	3555	BANK                                    	                                        	3555	2	2	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1970	                                        	          	                                        	BN2     	 	12	1	                                        	   	   	   	   	   	   	   	   	   	   	   	   	   
024-083                       	25	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	672	LOWELL ST                              	          	KONIS STEVE & KONIS KATERINA            	                                        	P.O. BOX 4018                                                                                                                         	PEABODY                                 	MA	01961     	Small Retail And Service Stores Under 10	42697/243        	5-May-25	LAND + BLDG                             	10	468100	773700	1241800	     	0.714	8000	RETAIL MULTI OCCUP                      	                                        	8000	1	1	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1960	                                        	          	                                        	BN      	 	04                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
024-084                       	26	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	4	LAKE ST                                	          	CIAMPA INVESTMENTS INC &                	CIAMPA JOSEPH                           	42 JOEY RD                                                                                                                            	REVERE                                  	MA	02151     	Small Retail And Service Stores Under 10	42186/274        	25-Jun-24	LAND + BLDG                             	2700000	661500	949700	1611200	     	1.85	6944	RETAIL MULTI OCCUP                      	                                        	6944	1	1	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	          	1960	                                        	          	                                        	BN      	 	04                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
025-010                       	27	NBD BUS CLSTR 1-LOWELL/RUSSELL ETAL     	598	LOWELL ST                              	          	MOLLOY JOHN P TRUSTEE                   	MOLLOY REALTY TRUST                     	89 MAIN ST - SUITE 3                                                                                                                  	WEST LEBANON                            	NH	03784     	Small Retail And Service Stores Under 10	                 	           	                                        	          	329800	801200	1131000	     	0.344	7304	CONVENIENCE STORE (NO GAS)              	                                        	7304	1	1	01                                      	                                        	          	          	          	          	HOT AIR                                 	                                        	                                        	2304	1958	                                        	          	                                        	BN      	 	03                                      	1	                                        	   	   	   	   	   	   	   	   	   	   	YES	   	   
