USECODE,STORYHEIGHT,FUELTYPE,AREASQ
101,1T,OIL,1591
101,1H,OIL,2872
101,1T,OIL,2177
104,1,OIL,2415
930,,,0
101,1,OIL,1791
101,1T,OIL,2756.4
101,1H,GAS,816
101,1H,GAS,1550.4
101,1T,GAS,1628
101,1H,GAS,1224
101,1,OIL,1128
101,2,OIL,1712
101,1H,ELECTRIC,2050
101,1T,OIL,1836
101,1T,GAS,2126
101,1T,GAS,1612
101,2,GAS,1776
101,1T,OIL,1821.2
101,2,GAS,1939.6
101,1T,GAS,1547
101,2,OIL,1761
101,1T,OIL,1806
101,1T,OIL,1928
101,1T,GAS,1743
101,1T,GAS,2932.5
101,1,GAS,4058.25
104,2H,OIL,3834.2
109,1T,GAS,2256.5
104,2A,OIL,1970
101,2,OIL,1742
101,1T,GAS,730.08
101,1T,GAS,1529.25
101,2,OIL,1813
132,,,0
131,,,0
131,,,0
132,,,0
132,,,0
112,2,GAS,11764.8
104,2A,OIL,3004
111,2,OIL,6318
111,2,OIL,6318
105,2H,OIL,3483
111,2H,OIL,3502.5
101,2A,OIL,3015
104,2T,GAS,2548.21
104,2H,OIL,2265
101,1T,GAS,1633.5
101,2A,OIL,2506.33
101,2,GAS,2551.2
111,2A,GAS,3778.8
101,2A,OIL,1976.8
101,2,OIL,1152
101,2,GAS,2950.2
102,2T,GAS,1364.4
102,1,OIL,1879
102,2T,GAS,1337
102,1A,OIL,1538
102,2T,GAS,1192
101,1T,GAS,3375.6
101,2A,GAS,2640
101,1,GAS,2537.2
101,1T,OIL,2194.5
101,1,OIL,2985.2
101,2,GAS,3105.4
101,1,OIL,2788
101,2,OIL,4690.8
101,1,OIL,2312
101,1,OIL,2743.3
101,1,OIL,2863.2
101,2,OIL,2806.4
101,2A,OIL,3070.4
101,2,ELECTRIC,2902
101,2T,OIL,4268
101,1,OIL,1392
101,1,OIL,2414.4
101,1,OIL,1807.1
101,1,OIL,1833
101,1,OIL,1833
101,1,OIL,2516.2
101,1,OIL,1156
101,1,OIL,1304
101,2,OIL,2767
101,1,OIL,3510
101,2,OIL,2571
101,2,OIL,2766
101,2,OIL,2496
101,1,OIL,922
101,1,OIL,1242
101,1,OIL,1613.2
101,1,GAS,1505.2
101,1,OIL,1478.8
101,1,OIL,1186
101,1,OIL,1180
101,1,OIL,1592
101,1,GAS,1315.6
104,2,GAS,2716
101,1,OIL,1642
101,1,GAS,1546
101,2,GAS,2124.4
101,1,OIL,1734
101,1,GAS,1308.4
101,2,GAS,2923
101,2,OIL,2044
101,1,GAS,1594
101,1,OIL,1759
101,1,OIL,2877.5
101,2,GAS,2437.6
104,1,OIL,2813.85
101,1,OIL,1646.4
104,2,OIL,2578
101,2,OIL,3043
423,1,ELECTRIC,840
930,,,0
101,1,GAS,2460
101,1,OIL,1890
101,1,OIL,1686
101,1,OIL,1728
101,1,GAS,1216
101,1,OIL,1104
101,1,OIL,2623
101,1,OIL,1344
101,2,OIL,2912
101,2,OIL,3734.5
101,1,OIL,1254
101,1,GAS,1504
101,1,OIL,2514
101,1,OIL,1328
101,1,OIL,1872
101,1,OIL,1590
101,1,OIL,1439
101,1,OIL,1056
101,2,GAS,2190
101,2,OIL,1750
101,1,OIL,1560
101,2A,OIL,2256
101,1,OIL,1408
101,1,OIL,1404
101,1,OIL,1646
101,2,OIL,2716
101,1,OIL,1248
101,1,OIL,1408
101,2,GAS,2432
101,2,GAS,2278
101,1T,GAS,1622
101,1T,GAS,2877.56
959,2,OIL,3953.25
101,1,OIL,1610
101,1T,OIL,2054
101,1T,GAS,1268.75
101,1,ELECTRIC,2124.8
101,1,OIL,1964
101,1T,OIL,3354.9
101,1,OIL,1627.2
101,1,OIL,2099.2
101,2A,GAS,2799.2
101,1,OIL,2033.2
101,1T,GAS,1456
101,1,OIL,1234
101,1T,OIL,1724
101,2,OIL,1620
101,1,ELECTRIC,1958
101,1T,GAS,1904
101,1T,OIL,1760
101,1,OIL,1300
101,1,GAS,2617.4
101,1H,GAS,1632
101,1,GAS,2345.6
101,2A,GAS,2592
101,2A,GAS,2592
101,2A,OIL,1512
101,1,OIL,816
101,1T,OIL,2379.5
104,1,GAS,1352
104,1,GAS,2864
104,1,GAS,1352
930,,,0
101,1,OIL,2427
101,2,OIL,1628
101,1,GAS,1196
101,1,GAS,2319.8
101,1,OIL,1977.6
101,1,OIL,2198.8
101,1T,GAS,2700
140,1,GAS,3408
101,1T,GAS,1344
101,2,OIL,2624
101,1,OIL,2553.4
104,2A,OIL,2134.25
101,2,GAS,1296
101,1T,OIL,1372.24
101,2A,GAS,1680
930,,,0
104,2,GAS,2400
101,1H,GAS,1044
101,1,OIL,868
101,2,OIL,2278
101,2,OIL,2026
101,2,GAS,1392
104,1,GAS,4644.8
101,1H,GAS,2250
101,2,GAS,1635.5
101,1H,OIL,1386
104,2,OIL,2422.68
101,1H,OIL,1200
101,1A,OIL,1593.52
101,1T,GAS,1140
101,2,OIL,2368
101,2,OIL,1850.25
101,1,GAS,1711
102,1,GAS,847.96
102,1,GAS,1017.1
102,1,GAS,864.29
102,1,GAS,848.72
102,1,GAS,984
102,1,GAS,851.53
102,1,GAS,886.66
102,1,GAS,586
105,2H,GAS,3335.5
101,1T,GAS,1578
101,2,GAS,2166.2
101,1T,OIL,2262
101,1T,OIL,3048.3
101,1H,GAS,958
101,1T,GAS,1126.5
104,1T,GAS,3311.55
101,1T,OIL,1639
101,1T,GAS,2018.4
101,2,OIL,1420.8
101,2,OIL,2078.1
101,2A,OIL,1226
101,2,OIL,1798
101,2,GAS,1642.4
104,1T,OIL,2914.5
101,1T,OIL,2067
101,1,OIL,1904
104,2,GAS,2281
101,1T,GAS,1635.5
101,2,OIL,1549.4
101,1T,GAS,2599.8
101,2,GAS,2146.4
101,2,OIL,1460
109,2H,OIL,4679
102,2,ELECTRIC,948
102,2,ELECTRIC,948
101,2,OIL,2470
101,1T,OIL,2952
101,1T,OIL,2505
101,1,OIL,2684
101,1,OIL,2155
932,,,0
101,2,ELECTRIC,2419.5
101,1,OIL,2000
101,1,OIL,2220
101,1T,OIL,3024.4
101,1,OIL,1693
101,1,OIL,2270
101,2,OIL,2189.6
101,1,OIL,1512
101,2,OIL,2419.2
101,1,OIL,2757.6
101,1,OIL,1982
101,1T,OIL,1754
101,1,OIL,1641.6
