"USECODE","FUELTYPE","AREASQ","STORYHEIGHT"
"353",NA,7200,1
"031",NA,1710,1
"031",NA,1782,2
"960",NA,14448,1
"970",NA,4386,1
"970",NA,3596,1
"970",NA,1188,1
"970",NA,2268,1
"970",NA,2688,1
"970",NA,2688,1
"970",NA,5270,1
"125",NA,36420,3
"340",NA,2416,1
"325",NA,4640,1
"111",NA,6761,3
"325",NA,5700,1
"326",NA,2340,1
"332",NA,9783,1
"325",NA,14984,1
"326",NA,6282,1
"325",NA,7000,2
"323",NA,28630,1
"323",NA,1960,1
"335",NA,5472,1
"323",NA,16148,2
"340",NA,34058,3
"931",NA,51009,2
"931",NA,7854,1
"316",NA,56150,1
"400",NA,15960,1
"340",NA,20000,2
"400",NA,16950,1
"316",NA,36080,1
"031",NA,3572,1
"031",NA,9000,2
"031",NA,3120,1
"951",NA,56631,3
"352",NA,19574,3
"111",NA,9999,3
"013",NA,4408,2
"934",NA,71454,2
"334",NA,621,1
"332",NA,3701,1
"325",NA,3338,1
"934",NA,13164,2
"112",NA,144648,7
"112",NA,18684,3
"112",NA,105208,7
"112",NA,20152,3
"960",NA,4160,1
"305",NA,77932,3
"960",NA,5151,1
"343",NA,1456,1
"343",NA,1546,1
"401",NA,24764,2
"400",NA,10552,2
"931",NA,8530,1
"931",NA,1520,1
"112",NA,16320,3
"112",NA,42636,3
"908",NA,117427,3
"931",NA,28812,1
"970",NA,22427,2
"970",NA,4185,2
"970",NA,18816,2
"111",NA,6886,2
"013",NA,3654,2
"013",NA,400,1
"376",NA,15936,1
"341",NA,4694,2
"905",NA,7296,1
"111",NA,9199,3
"013",NA,5150,3
"111",NA,7081,3
"013",NA,3644,2
"013",NA,3560,3
"325",NA,10508,2
"335",NA,8445,1
"013",NA,3180,3
"013",NA,986,1
"013",NA,4718,3
"111",NA,7008,3
"341",NA,6606,2
"954",NA,8832,1
"031",NA,5506,2
"325",NA,2420,1
"013",NA,1568,1
"013",NA,1777,2
"112",NA,24288,4
"112",NA,177120,7
"316",NA,11360,2
"316",NA,8024,1
"344",NA,1018,1
"344",NA,540,1
"344",NA,957,2
"344",NA,668,2
"316",NA,4232,1
"954",NA,16425,2
"330",NA,2959,1
"332",NA,2113,1
"332",NA,5040,2
"013",NA,2896,3
"013",NA,990,1
"960",NA,7070,1
"934",NA,87788,3
"326",NA,1259,1
"013",NA,1847,2
"353",NA,4410,1
"353",NA,9296,2
